Date,Open,High,Low,Close,Adj Close,Volume,perc_return
6/6/2016,83.019997,84.050003,82.589996,83.129997,67.640656,6412700,
6/13/2016,82.629997,82.989998,80.599998,81.5,66.314354,8362900,-1.96%
6/20/2016,82.690002,83.730003,80.190002,81.459999,66.281837,5414800,-0.05%
6/27/2016,80.629997,82.57,79.82,81.949997,66.680519,7736600,0.60%
7/4/2016,82.43,83.690002,81.519997,82.949997,67.494194,4813900,1.22%
7/11/2016,83.550003,85.029999,83.290001,84.730003,68.942535,5751400,2.15%
7/18/2016,84.970001,85.309998,84.510002,84.760002,68.966957,3775400,0.04%
7/25/2016,84.849998,85.5,83.269997,83.699997,68.104462,5415700,-1.25%
8/1/2016,83.199997,83.519997,81.620003,82.849998,68.098846,4342000,-1.02%
8/8/2016,82.709999,84.230003,82.709999,83.650002,68.756401,4103000,0.97%
8/15/2016,83.839996,84.129997,83.239998,84.050003,69.085197,3543200,0.48%
8/22/2016,83.940002,86.93,83.510002,86.839996,71.378441,6864700,3.32%
8/29/2016,86.849998,87.919998,86.550003,87.019997,71.526382,4770700,0.21%
9/5/2016,86.989998,87.050003,85.199997,85.580002,70.342781,3583200,-1.65%
9/12/2016,85.300003,85.940002,84.529999,85.209999,70.038651,7442300,-0.43%
9/19/2016,85.610001,86.599998,85.110001,85.809998,70.531822,3861400,0.70%
9/26/2016,85.540001,86.620003,85.040001,85.970001,70.663322,4865300,0.19%
10/3/2016,85.830002,86,83.440002,83.949997,69.002983,7564000,-2.35%
10/10/2016,83.800003,85.139999,83.580002,84.480003,69.438644,3975600,0.63%
10/17/2016,84.599998,85.790001,84.419998,85.519997,70.293465,5335500,1.23%
10/24/2016,85.660004,87.290001,85.18,85.349998,70.153748,8361900,-0.20%
10/31/2016,85.290001,85.639999,83.580002,83.830002,69.592773,5914300,-1.78%
11/7/2016,84.589996,86.550003,84.089996,86.059998,71.444038,6445100,2.66%
11/14/2016,86.400002,87.860001,85.940002,87.839996,72.921707,7392500,2.07%
11/21/2016,87.959999,89.349998,87.779999,88.82,73.735283,6939300,1.12%
11/28/2016,89,89.639999,88.07,89,73.884712,6961300,0.20%
12/5/2016,89.300003,96.220001,89.209999,96.199997,79.861916,8832400,8.09%
12/12/2016,96,97.5,95.75,96.900002,80.443031,13131100,0.73%
12/19/2016,97.089996,97.599998,96.57,97.169998,80.667175,3908200,0.28%
12/26/2016,97.300003,97.470001,96.440002,96.57,80.169067,2188900,-0.62%
1/2/2017,96.900002,97.989998,96.830002,97.550003,80.982635,4561500,1.01%
1/9/2017,97.370003,98.860001,96.699997,97.970001,81.331284,5848300,0.43%
1/16/2017,98.080002,98.900002,97.029999,98.599998,81.854301,5247500,0.64%
1/23/2017,98.589996,101.150002,98.18,100.809998,83.688972,5623300,2.24%
1/30/2017,99.449997,99.620003,97.849998,98.989998,82.178078,5402900,-1.81%
2/6/2017,98.989998,100.190002,98.150002,100.150002,83.873222,4707200,1.17%
2/13/2017,100.43,101.580002,100.260002,101.410004,84.928436,6131800,1.26%
2/20/2017,101.660004,102.389999,99.980003,99.980003,83.73085,9132300,-1.41%
2/27/2017,99.980003,103.540001,98.580002,102.849998,86.134415,11364300,2.87%
3/6/2017,102.459999,104.150002,102.099998,103.050003,86.301895,6352300,0.19%
3/13/2017,102.980003,103.660004,100.75,100.959999,84.551567,10814400,-2.03%
3/20/2017,100.5,100.830002,97.489998,99.290001,83.153,5565600,-1.65%
3/27/2017,98.290001,100.449997,98.190002,99.330002,83.186478,4579100,0.04%
4/3/2017,99.410004,100.68,98.529999,100.230003,83.940216,5463400,0.91%
4/10/2017,100.080002,100.410004,97.32,97.379997,81.553406,4358500,-2.84%
4/17/2017,97.370003,99.339996,97.360001,98.730003,82.683998,7815400,1.39%
4/24/2017,99.589996,101.290001,96.099998,96.660004,80.950417,17994900,-2.10%
5/1/2017,97.120003,97.32,95.139999,96.32,81.384003,12865600,-0.35%
5/8/2017,96.739998,96.989998,93.459999,94.040001,79.457565,10261000,-2.37%
5/15/2017,94.160004,95.510002,91.800003,93.660004,79.136497,9914900,-0.40%
5/22/2017,94.5,95.25,90.440002,91.169998,77.032616,10142400,-2.66%
5/29/2017,91.239998,92.07,90.129997,91.269997,77.117096,7336900,0.11%
6/5/2017,91.260002,93.959999,90.279999,93.900002,79.339279,8097600,2.88%
6/12/2017,93.639999,94.300003,91.540001,92.959999,78.545044,13446900,-1.00%
6/19/2017,93.239998,94.43,92.370003,93.860001,79.305481,6662300,0.97%
6/26/2017,94.300003,96.400002,93.699997,95.220001,80.45459,7709200,1.45%
7/3/2017,95.790001,96.419998,94.830002,95.849998,80.9869,5615800,0.66%
7/10/2017,95.790001,97.419998,95.400002,96.910004,81.882545,5941900,1.11%
7/17/2017,96.889999,97.150002,95.889999,96.32,81.384003,5589300,-0.61%
7/24/2017,96.290001,96.970001,93.860001,94.190002,79.584312,5081800,-2.21%
7/31/2017,94.059998,95.599998,93.989998,94.610001,80.697952,4532100,0.45%
8/7/2017,94.559998,95.099998,91.809998,92.010002,78.480263,4750700,-2.75%
8/14/2017,92.459999,93.519997,90.730003,91.529999,78.070839,5402000,-0.52%
8/21/2017,91.300003,92.940002,91.169998,92.309998,78.736137,5077900,0.85%
8/28/2017,92.309998,92.43,89.199997,89.489998,76.330803,8476600,-3.05%
9/4/2017,89.5,89.93,88.629997,89.889999,76.671989,7414300,0.45%
9/11/2017,90.300003,92.230003,90.169998,91.68,78.198799,11938200,1.99%
9/18/2017,91.720001,93.050003,91.379997,92.760002,79.119987,5131300,1.18%
9/25/2017,92.760002,95,92.5,94.43,80.544403,6423600,1.80%
10/2/2017,94.940002,96.889999,94.599998,96.510002,82.318558,6731800,2.20%
10/9/2017,96.400002,97.739998,96.309998,97.529999,83.18856,3619500,1.06%
10/16/2017,97.769997,99.169998,97.480003,98.760002,84.237701,5418900,1.26%
10/23/2017,99,100.32,98.779999,100.029999,85.320953,5770200,1.29%
10/30/2017,99.900002,100.209999,98.400002,99.269997,84.672699,5988500,-0.76%
11/6/2017,99.400002,99.440002,97.510002,97.860001,84.22802,4192200,-1.42%
11/13/2017,97.610001,99.120003,97.519997,99,85.209198,4019100,1.16%
11/20/2017,99,100,98.82,99.059998,85.260857,4688500,0.06%
11/27/2017,99.290001,99.739998,98.830002,99.480003,85.622345,6482000,0.42%
12/4/2017,99.739998,101.160004,98.610001,100.910004,86.853142,7423300,1.44%
12/11/2017,101.050003,101.379997,100.040001,100.629997,86.612144,9257500,-0.28%
12/18/2017,100.970001,101.620003,100.650002,100.779999,86.741241,4429000,0.15%
12/25/2017,100.82,100.82,99.889999,100.589996,86.577713,1994800,-0.19%
1/1/2018,100.589996,101.980003,100.040001,101.779999,87.601952,3853700,1.18%
1/8/2018,101.970001,103.169998,101.639999,102.419998,88.152809,7263800,0.63%
1/15/2018,102.400002,104.910004,102.400002,104.440002,89.891411,8098900,1.97%
1/22/2018,104.339996,105.550003,102.510002,103.459999,89.047913,7682500,-0.94%
1/29/2018,103.300003,103.419998,100.129997,100.209999,86.250664,5716000,-3.14%
2/5/2018,98.709999,99.440002,93.599998,95.339996,82.809441,10507300,-4.86%
2/12/2018,96.150002,98.389999,95.349998,97.610001,84.781105,9035900,2.38%
2/19/2018,97.510002,99.699997,97.139999,99.459999,86.387962,5780100,1.90%
2/26/2018,99.980003,100,95.580002,96.510002,83.825676,8140400,-2.97%
3/5/2018,95.970001,98.099998,95.779999,98,85.119835,6169400,1.54%
3/12/2018,98,99.410004,97.68,98.709999,85.736526,9414700,0.72%
3/19/2018,98.690002,99.919998,96.57,96.870003,84.138351,8642000,-1.86%
3/26/2018,97.699997,98.110001,95.889999,97.32,84.529205,6216500,0.46%
4/2/2018,97.290001,97.419998,94.699997,96.330002,83.669334,6285500,-1.02%
4/9/2018,96.669998,97.620003,94.739998,94.870003,82.401215,5534000,-1.52%
4/16/2018,95.230003,95.940002,94.669998,95.57,83.009216,4562800,0.74%
4/23/2018,95.809998,98.589996,95.769997,98.510002,85.562813,5080300,3.08%
4/30/2018,97.410004,98.260002,96.970001,98.050003,85.163269,5942800,-0.47%
5/7/2018,98.269997,100.919998,98.019997,100.769997,88.359955,8428100,2.77%
5/14/2018,101,101.650002,100.779999,101.07,88.623009,5217200,0.30%
5/21/2018,101.129997,102.290001,100.830002,101.470001,88.973755,5207800,0.40%
5/28/2018,101.449997,101.779999,98.839996,100.260002,87.912758,9142800,-1.19%
6/4/2018,100.260002,102.190002,100.190002,102.169998,89.58754,5409000,1.91%
6/11/2018,102.199997,102.459999,101.190002,101.989998,89.42971,8612100,-0.18%
6/18/2018,101.470001,103.889999,101.290001,103.32,90.595917,5409500,1.30%
6/25/2018,102.970001,103.07,101.339996,101.620003,89.10527,7242300,-1.65%
7/2/2018,102,102.300003,101.309998,102.18,89.596306,2738600,0.55%
7/9/2018,102.470001,103.419998,102.07,103.129997,90.429321,4630600,0.93%
7/16/2018,103,104.5,103,103.629997,90.867737,4699500,0.48%
7/23/2018,103.650002,104.68,103.5,104.029999,91.218483,4282600,0.39%
7/30/2018,104.18,104.309998,102.260002,103.220001,90.508232,5219700,-0.78%
8/6/2018,103.720001,104.190002,102.5,103.550003,91.643692,5525800,0.32%
8/13/2018,103.43,106,103.269997,105.830002,93.661537,6551500,2.20%
8/20/2018,105.949997,106.760002,105.330002,106.080002,93.882797,5030200,0.24%
8/27/2018,106.400002,107.93,105.730003,106.970001,94.670471,6890600,0.84%
9/3/2018,107.580002,107.980003,106.260002,107.620003,95.24572,5552400,0.61%
9/10/2018,107.730003,107.919998,105.510002,106.419998,94.183701,6361200,-1.12%
9/17/2018,106.32,108.919998,106,108.260002,95.812149,6599500,1.73%
9/24/2018,108.459999,109,106.379997,106.540001,94.289894,6460100,-1.59%
10/1/2018,107.639999,107.639999,105.330002,105.589996,93.44912,6026300,-0.89%
10/8/2018,105.5,105.660004,102.370003,102.889999,91.05957,7299100,-2.56%
10/15/2018,103.599998,104.209999,102.779999,103.690002,91.767593,6697000,0.78%
10/22/2018,103.830002,103.959999,97.919998,98.860001,87.49295,9420400,-4.66%
10/29/2018,99.25,99.739998,97.389999,98.449997,87.130089,9932100,-0.41%
11/5/2018,98.360001,99.790001,97.870003,98.870003,88.357407,6304800,0.43%
11/12/2018,98.760002,99.860001,98.290001,99.050003,88.518265,6871000,0.18%
11/19/2018,99.129997,99.230003,96.580002,97.690002,87.302849,5473800,-1.37%
11/26/2018,98.300003,100.040001,96.889999,99.129997,88.589737,7853200,1.47%
12/3/2018,99.989998,99.989998,92.32,92.709999,82.852364,12664300,-6.48%
12/10/2018,92.5,93.870003,89.330002,89.900002,80.341148,13566400,-3.03%
12/17/2018,89.800003,90.849998,87.040001,87.18,77.91037,14435100,-3.03%
12/24/2018,86.669998,89.459999,86.25,88.809998,79.367035,4261600,1.87%
12/31/2018,89.510002,90.290001,87.910004,90.150002,80.564575,5223200,1.51%
1/7/2019,90.410004,92.940002,88.919998,92.760002,82.897057,9791600,2.90%
1/14/2019,92.699997,96.970001,92.330002,96.730003,86.444939,8723000,4.28%
1/21/2019,96.93,97.449997,95.849998,97.239998,86.900688,6483200,0.53%
1/28/2019,96.919998,97.730003,95.75,95.940002,85.738937,10965700,-1.34%
2/4/2019,96.169998,97.889999,96.050003,96.949997,87.537239,7582300,1.05%
2/11/2019,97.199997,98.550003,96.730003,98.129997,88.602676,8774300,1.22%
2/18/2019,98.169998,99.360001,97.900002,98.730003,89.14444,7002700,0.61%
2/25/2019,99,103.389999,98.839996,103.150002,93.1353,9489600,4.48%
3/4/2019,103.209999,104.599998,102.410004,102.830002,92.846359,8499400,-0.31%
3/11/2019,102.839996,103.760002,101.510002,103.699997,93.631882,13156100,0.85%
3/18/2019,103.699997,104.139999,100.510002,100.739998,90.959282,7150100,-2.85%
3/25/2019,100.5,102.139999,99.769997,99.989998,90.282089,9001700,-0.74%
4/1/2019,100.510002,102.639999,100.269997,102.339996,92.403931,6020100,2.35%
4/8/2019,101.93,103.620003,101.379997,103.230003,93.207535,5073300,0.87%
4/15/2019,103.220001,105.730003,102.919998,105.5,95.257133,5527900,2.20%
4/22/2019,105.370003,106.489998,104.879997,105.690002,95.428688,8559000,0.18%
4/29/2019,105.669998,106.510002,105,106.110001,95.807907,8945700,0.40%
5/6/2019,105.010002,106.43,103.169998,104.160004,94.939453,8058100,-1.84%
5/13/2019,102.910004,104.360001,102.459999,103.419998,94.264954,5645500,-0.71%
5/20/2019,103.489998,104.720001,101.050003,103.599998,94.429016,7606600,0.17%
5/27/2019,103.699997,103.989998,97.449997,98.120003,89.43412,8149400,-5.29%
6/3/2019,98.120003,100.300003,97.830002,98.970001,90.208885,6334900,0.87%
6/10/2019,99.699997,100.150002,98.639999,99.669998,90.846893,4612300,0.71%
6/17/2019,99.68,101.129997,99.529999,99.940002,91.093018,7334500,0.27%
6/24/2019,99.82,100.150002,98.040001,98.919998,90.163307,5537900,-1.02%
7/1/2019,98.43,100.949997,98.43,100.879997,91.949799,4254700,1.98%
7/8/2019,100.599998,101.519997,99.910004,100.010002,91.156815,6836100,-0.86%
7/15/2019,100.290001,100.290001,98.660004,98.709999,89.971893,5284600,-1.30%
7/22/2019,98.800003,100.269997,98.410004,99.980003,91.129471,7984600,1.29%
7/29/2019,100.050003,100.57,95.970001,96.699997,88.139824,10466300,-3.28%
8/5/2019,95.309998,96.269997,93.660004,95.440002,87.900467,8219000,-1.30%
8/12/2019,94.839996,95.239998,91.800003,93.190002,85.828224,6867200,-2.36%
8/19/2019,94.050003,94.43,91.739998,92,84.732224,6754000,-1.28%
8/26/2019,92.660004,93.400002,88.239998,91.260002,84.050674,12424400,-0.80%
9/2/2019,90.989998,92.870003,89.660004,92.230003,84.944054,6955200,1.06%
9/9/2019,92.800003,96.93,92.360001,96.480003,88.858315,7979200,4.61%
