Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,19.990000,20.500000,19.910000,20.230000,16.202583,34773
2016-06-13,20.270000,20.290001,18.799999,19.219999,15.393654,32397
2016-06-20,19.490000,20.090000,19.000000,19.299999,15.457726,71410
2016-06-27,19.299999,19.780001,18.900000,19.709999,15.964909,26200
2016-07-04,19.719999,19.950001,19.469999,19.799999,16.037804,45540
2016-07-11,19.790001,20.230000,19.790001,20.020000,16.216003,55100
2016-07-18,20.020000,20.500000,19.900000,20.450001,16.564297,30559
2016-07-25,20.400000,20.750000,20.379999,20.620001,16.701998,19749
2016-08-01,20.620001,21.459999,20.620001,21.459999,17.382389,16955
2016-08-08,21.340000,21.500000,21.200001,21.309999,17.260891,112800
2016-08-15,21.299999,21.650000,21.290001,21.490000,17.406689,16847
2016-08-22,21.309999,21.389999,20.879999,21.000000,17.009794,22100
2016-08-29,21.000000,21.010000,20.650000,20.650000,16.726295,24134
2016-09-05,20.650000,20.650000,19.820000,19.870001,16.094503,57450
2016-09-12,19.940001,20.090000,19.719999,20.090000,16.272701,33324
2016-09-19,20.100000,20.540001,19.990000,20.209999,16.369902,117366
2016-09-26,19.990000,20.410000,19.990000,20.410000,16.531898,56887
2016-10-03,20.420000,20.540001,20.160000,20.209999,16.554201,32810
2016-10-10,20.209999,20.680000,20.209999,20.639999,16.906412,137891
2016-10-17,20.700001,20.809999,20.510000,20.809999,17.045668,68156
2016-10-24,20.750000,21.290001,20.650000,21.070000,17.258636,88511
2016-10-31,21.120001,21.350000,21.040001,21.100000,17.283209,68826
2016-11-07,21.120001,21.799999,21.120001,21.680000,17.758293,36570
2016-11-14,21.709999,21.860001,20.420000,20.450001,16.750786,42530
2016-11-21,20.420000,20.889999,20.420000,20.670000,16.930992,80945
2016-11-28,20.740000,21.320000,20.730000,21.000000,17.201300,76816
2016-12-05,20.900000,21.100000,20.770000,20.959999,17.168530,89196
2016-12-12,20.850000,21.760000,20.850000,21.559999,17.659998,156558
2016-12-19,21.549999,21.830000,21.180000,21.400000,17.528940,125180
2016-12-26,21.400000,21.990000,21.400000,21.840000,18.076874,10550
2017-01-02,21.840000,22.750000,21.770000,22.650000,18.747301,16908
2017-01-09,22.530001,22.660000,22.180000,22.650000,18.747301,22505
2017-01-16,22.690001,22.780001,22.549999,22.750000,18.830069,78357
2017-01-23,22.809999,24.500000,22.570000,23.400000,19.368073,36891
2017-01-30,23.660000,23.680000,23.290001,23.600000,19.533613,53220
2017-02-06,23.700001,23.700001,22.559999,23.270000,19.260477,45014
2017-02-13,23.330000,23.490000,23.180000,23.299999,19.285305,49138
2017-02-20,23.299999,23.990000,23.299999,23.840000,19.732260,25829
2017-02-27,23.910000,23.910000,23.260000,23.450001,19.409460,16197
2017-03-06,23.379999,23.639999,23.320000,23.639999,19.566719,42671
2017-03-13,23.700001,23.969999,23.540001,23.540001,19.483952,24749
2017-03-20,23.660000,23.660000,23.209999,23.209999,19.210812,25053
2017-03-27,23.070000,23.780001,22.930000,23.610001,19.731209,22029
2017-04-03,23.330000,23.799999,23.330000,23.760000,19.856567,37606
2017-04-10,23.760000,23.799999,23.520000,23.639999,19.756277,27936
2017-04-17,23.650000,23.650000,23.150000,23.250000,19.430355,493688
2017-04-24,23.240000,23.420000,23.160000,23.160000,19.355141,33016
2017-05-01,23.209999,23.209999,22.790001,22.990000,19.213066,31135
2017-05-08,22.910000,23.260000,22.879999,23.250000,19.430355,18031
2017-05-15,23.209999,23.240000,22.260000,22.459999,18.770136,20427
2017-05-22,22.459999,22.700001,22.360001,22.360001,18.686567,302835
2017-05-29,22.340000,22.750000,22.299999,22.520000,18.820280,53276
2017-06-05,22.450001,22.650000,22.260000,22.650000,18.928919,35020
2017-06-12,22.620001,23.620001,22.620001,23.600000,19.722851,199213
2017-06-19,23.600000,23.770000,23.549999,23.750000,19.848207,252600
2017-06-26,23.549999,23.850000,23.270000,23.700001,19.806427,38230
2017-07-03,23.700001,23.990000,23.690001,23.850000,20.122414,53200
2017-07-10,23.850000,24.059999,23.740000,23.959999,20.215221,70064
2017-07-17,23.799999,24.250000,23.799999,24.160000,20.383963,16980
2017-07-24,24.180000,24.360001,24.110001,24.180000,20.400839,29448
2017-07-31,24.160000,24.250000,24.090000,24.100000,20.333340,19600
2017-08-07,24.100000,24.100000,23.309999,23.320000,19.675249,5750
2017-08-14,23.350000,23.379999,23.090000,23.190001,19.565565,36177
2017-08-21,23.240000,23.549999,23.240000,23.410000,19.751181,33405
2017-08-28,23.459999,23.930000,23.299999,23.490000,19.818676,15920
2017-09-04,23.490000,23.690001,23.340000,23.650000,19.953672,16210
2017-09-11,23.549999,23.770000,23.510000,23.620001,19.928366,87483
2017-09-18,23.629999,23.870001,23.620001,23.820000,20.097101,12290
2017-09-25,23.870001,24.000000,23.650000,23.990000,20.240532,18740
2017-10-02,24.000000,24.799999,24.000000,24.730000,21.062920,39677
2017-10-09,24.730000,24.790001,24.600000,24.629999,20.977745,43435
2017-10-16,24.660000,24.799999,24.590000,24.780001,21.105503,27822
2017-10-23,24.700001,24.730000,24.290001,24.350000,20.739265,15770
2017-10-30,24.309999,24.600000,24.309999,24.500000,20.867022,17848
2017-11-06,24.500000,24.600000,24.459999,24.520000,20.884060,49597
2017-11-13,24.520000,24.600000,24.360001,24.600000,20.952192,37400
2017-11-20,24.600000,24.750000,24.570000,24.700001,21.037371,25182
2017-11-27,24.650000,24.700001,24.260000,24.350000,20.739265,25804
2017-12-04,24.480000,24.480000,23.889999,24.070000,20.500786,49758
2017-12-11,24.080000,24.330000,24.059999,24.250000,20.654095,46339
2017-12-18,24.389999,24.790001,24.350000,24.740000,21.071434,14451
2017-12-25,24.740000,24.740000,24.350000,24.660000,21.003296,5355
2018-01-01,24.660000,24.799999,24.559999,24.760000,21.282021,87521
2018-01-08,24.790001,24.790001,24.420000,24.430000,20.998377,56408
2018-01-15,24.330000,24.540001,24.160000,24.370001,20.946800,40623
2018-01-22,24.549999,24.549999,24.350000,24.510000,21.067137,35401
2018-01-29,24.510000,24.690001,24.420000,24.610001,21.153097,25627
2018-02-05,24.600000,24.639999,24.200001,24.270000,20.860849,36003
2018-02-12,24.350000,24.490000,24.235001,24.309999,20.895229,124997
2018-02-19,24.309999,24.350000,24.139999,24.240000,20.835066,28680
2018-02-26,24.250000,24.440001,24.230000,24.400000,20.972588,32551
