Date,Open,High,Low,Close,Adj Close,Volume,perc_return
6/6/2016,79.300003,80.389999,78.209999,78.57,64.502502,10242400,
6/13/2016,78.050003,78.690002,76.120003,77.599998,63.706184,19371100,-1.23%
6/20/2016,78.5,79.730003,76.610001,77.209999,63.386013,12276100,-0.50%
6/27/2016,76.449997,77.400002,74.639999,76.339996,62.671776,12628600,-1.13%
7/4/2016,76.870003,78,75.830002,77.349998,63.500935,11255900,1.32%
7/11/2016,77.949997,80.190002,77.949997,80.099998,65.758568,10651400,3.56%
7/18/2016,80.32,80.849998,79.449997,79.599998,65.348099,8214400,-0.62%
7/25/2016,79.559998,80.690002,78.940002,79.589996,66.005035,8262100,-0.01%
8/1/2016,79.089996,79.580002,78.239998,79.459999,65.897224,5897300,-0.16%
8/8/2016,79.650002,80.629997,79.519997,80.150002,66.469437,6738100,0.87%
8/15/2016,80.309998,80.959999,79.809998,80.959999,67.141182,6563900,1.01%
8/22/2016,80.720001,83,80.419998,81.540001,67.622192,11769400,0.72%
8/29/2016,81.709999,82.050003,81.010002,81.5,67.58902,10798800,-0.05%
9/5/2016,81.709999,81.720001,80.089996,80.720001,66.942154,7105400,-0.96%
9/12/2016,80.389999,81.489998,79.75,80.760002,66.975334,13067400,0.05%
9/19/2016,81,82.169998,80.519997,81.400002,67.506088,7783500,0.79%
9/26/2016,81.019997,81.800003,80.349998,81.260002,67.389969,7998900,-0.17%
10/3/2016,81.309998,82.209999,80.699997,81.900002,67.920746,8795400,0.79%
10/10/2016,81.959999,83.279999,81.57,82.610001,68.50956,8229800,0.87%
10/17/2016,82.599998,84.699997,82.5,84.5,70.07695,10055800,2.29%
10/24/2016,83.660004,83.989998,83.019997,83.720001,69.430084,10716900,-0.92%
10/31/2016,83.650002,84.089996,81.82,82.059998,68.728516,9455300,-1.98%
11/7/2016,82.650002,86.089996,82.599998,85.980003,72.011688,11882900,4.78%
11/14/2016,86.080002,87.400002,85.540001,87.269997,73.092117,11663200,1.50%
11/21/2016,87.5,90,87.400002,89.730003,75.152451,9873900,2.82%
11/28/2016,89.739998,90.160004,86.830002,87.730003,73.477379,15374200,-2.23%
12/5/2016,88.059998,90.510002,87.699997,90.300003,75.629837,12633100,2.93%
12/12/2016,90.059998,91.949997,89.940002,91.629997,76.743767,21134300,1.47%
12/19/2016,91.889999,92.290001,91.540001,91.68,76.785645,7032000,0.05%
12/26/2016,91.989998,92.199997,90.800003,90.870003,76.107254,4445100,-0.88%
1/2/2017,91.370003,93.540001,91.110001,92.720001,77.656708,8603600,2.04%
1/9/2017,92.449997,94.900002,92.019997,94.5,79.147514,14363600,1.92%
1/16/2017,94.5,94.760002,92.809998,94.169998,78.871132,9042200,-0.35%
1/23/2017,94.059998,94.57,92.529999,94.470001,79.122406,9595900,0.32%
1/30/2017,94.300003,94.82,92.839996,94.599998,79.936424,10481500,0.14%
2/6/2017,94.599998,97.050003,94.080002,96.839996,81.829208,9385900,2.37%
2/13/2017,97.400002,99.18,96.610001,99.089996,83.730438,11905700,2.32%
2/20/2017,99.769997,99.900002,96.209999,96.610001,81.634872,12390300,-2.50%
2/27/2017,96.75,98.489998,96.480003,98.290001,83.054443,20236300,1.74%
3/6/2017,98,99.389999,96.910004,97.660004,82.52211,10647800,-0.64%
3/13/2017,97.110001,98.089996,96.110001,96.760002,81.761612,22379800,-0.92%
3/20/2017,96.519997,97.400002,94.300003,96.550003,81.58416,13110700,-0.22%
3/27/2017,95.800003,98.709999,95.510002,96.889999,81.871452,12397000,0.35%
4/3/2017,96.989998,98.260002,95.699997,97.32,82.234795,11713000,0.44%
4/10/2017,97.32,97.5,94.580002,94.629997,79.961761,7339700,-2.76%
4/17/2017,94.860001,96.050003,94.5,94.550003,79.894188,14520700,-0.08%
4/24/2017,95.349998,97.620003,93.110001,93.470001,79.705574,42735300,-1.14%
5/1/2017,93.68,94.160004,92.019997,93.739998,79.935806,27765100,0.29%
5/8/2017,94.040001,94.519997,91.760002,92.480003,78.861351,21510500,-1.34%
5/15/2017,92.459999,94.379997,90.730003,93.019997,79.321815,22527800,0.58%
5/22/2017,93.550003,94.849998,92.410004,93.919998,80.089302,12165000,0.97%
5/29/2017,93.989998,94.690002,92.739998,93.760002,79.952858,15629400,-0.17%
6/5/2017,93.400002,95.550003,92.510002,95.279999,81.249039,18984900,1.62%
6/12/2017,95.139999,96.199997,92.620003,93.550003,79.773788,24857100,-1.82%
6/19/2017,94,94.830002,93.089996,94.120003,80.259842,10244100,0.61%
6/26/2017,94.5,96.050003,93.559998,94.160004,80.293953,12263500,0.04%
7/3/2017,94.690002,95.550003,93.629997,95.089996,81.08699,6886000,0.99%
7/10/2017,95.150002,95.830002,94.379997,95.25,81.223427,9352100,0.17%
7/17/2017,95.300003,95.339996,94.339996,94.75,80.797066,8280300,-0.52%
7/24/2017,93.5,94.5,92.300003,92.769997,79.108658,8209300,-2.09%
7/31/2017,92.519997,94.879997,92.419998,94.519997,81.34787,7262600,1.89%
8/7/2017,94.400002,94.790001,92.230003,92.510002,79.617989,8800500,-2.13%
8/14/2017,93.349998,94.18,91.550003,92.25,79.394218,9152500,-0.28%
8/21/2017,92.18,93.629997,91.68,93.25,80.254883,9380400,1.08%
8/28/2017,93.309998,93.32,91.879997,92.110001,79.273743,10703700,-1.22%
9/4/2017,91.870003,91.879997,90.129997,90.529999,77.913925,7937900,-1.72%
9/11/2017,91.349998,92.419998,90.860001,91.970001,79.153244,19671300,1.59%
9/18/2017,92.279999,94.589996,91.940002,94.400002,81.244591,9642000,2.64%
9/25/2017,94.400002,96.980003,94.010002,96.540001,83.086388,10740600,2.27%
10/2/2017,96.760002,98.339996,96.660004,98.110001,84.437592,9849200,1.63%
10/9/2017,98.150002,99.129997,98.010002,99.080002,85.272415,6216100,0.99%
10/16/2017,99.18,101.629997,99.099998,101.230003,87.12278,9892000,2.17%
10/23/2017,101.5,102.150002,100.040001,101.169998,87.071152,11097500,-0.06%
10/30/2017,101.059998,101.470001,100.260002,101.419998,88.071274,7676700,0.25%
11/6/2017,101.480003,101.589996,99.510002,99.839996,86.699226,5891100,-1.56%
11/13/2017,99.5,101.120003,99.300003,100.889999,87.611038,6197200,1.05%
11/20/2017,100.669998,101.620003,100.660004,101.059998,87.758659,6457900,0.17%
11/27/2017,101.279999,101.949997,99.849998,101.160004,87.845497,11690100,0.10%
12/4/2017,101.75,102.5,100.650002,102.470001,88.98307,8861600,1.29%
12/11/2017,102.5,102.800003,101.25,101.919998,88.505463,17219200,-0.54%
12/18/2017,102.330002,103.339996,102.099998,102.449997,88.965706,7633300,0.52%
12/25/2017,102.230003,102.669998,102.029999,102.650002,89.139397,4354000,0.20%
1/1/2018,102.599998,105.110001,102.209999,104.739998,90.954292,7065600,2.04%
1/8/2018,105,105.440002,104.269997,105.160004,91.319023,9249900,0.40%
1/15/2018,105.68,107.970001,105.230003,107.720001,93.542099,12638400,2.43%
1/22/2018,107.769997,108.519997,105.230003,105.720001,91.805328,16134600,-1.86%
1/29/2018,105.389999,106.080002,103.5,103.550003,90.689629,13885700,-2.05%
2/5/2018,102.099998,103.25,97.809998,99.080002,86.77478,18271400,-4.32%
2/12/2018,99.949997,101.760002,99,100.480003,88.0009,13351600,1.41%
2/19/2018,100.25,103.529999,99.470001,102.559998,89.822571,8890800,2.07%
2/26/2018,103.18,103.25,99.629997,99.910004,87.501701,11437700,-2.58%
3/5/2018,99.709999,102.230003,99.339996,101.760002,89.121925,9770000,1.85%
3/12/2018,101.699997,102.919998,101.43,102.32,89.612389,20735000,0.55%
3/19/2018,102.25,102.879997,99.099998,99.209999,86.888634,10318300,-3.04%
3/26/2018,100.5,100.849998,98.330002,99.519997,87.160126,9589900,0.31%
4/2/2018,99.559998,99.589996,96.68,97.300003,85.215851,10380500,-2.23%
4/9/2018,97.739998,98.940002,96,96.059998,84.129852,8949400,-1.27%
4/16/2018,96.220001,97.550003,96,97.279999,85.198318,7391700,1.27%
4/23/2018,97.739998,98.169998,96.260002,98.150002,85.960281,9988700,0.89%
4/30/2018,98.150002,98.809998,96.940002,97.830002,86.509979,7967700,-0.33%
5/7/2018,98.040001,100.550003,97.949997,100.379997,88.764915,10870000,2.61%
5/14/2018,100.900002,101.43,100.160004,100.57,88.93293,9507400,0.19%
5/21/2018,100.739998,102.029999,98.580002,98.580002,87.173195,9826400,-1.98%
