Date,Open,High,Low,Close,Adj Close,Volume,perc_return
6/6/2016,57.32,57.959999,56.59,56.759998,46.561909,11548900,
6/13/2016,56.5,56.82,55.02,55.700001,45.692348,25136100,-1.87%
6/20/2016,56.389999,56.91,54.599998,55.240002,45.315006,16353800,-0.83%
6/27/2016,54.759998,55.91,54.200001,55.48,45.511879,16409400,0.43%
7/4/2016,55.799999,56.18,54.439999,55.110001,45.208363,12965000,-0.67%
7/11/2016,55.57,56.889999,55.509998,56.650002,46.932617,12262800,2.79%
7/18/2016,56.75,57.200001,56.400002,57.110001,47.313702,8578500,0.81%
7/25/2016,57.25,57.529999,56.700001,56.889999,47.131443,10184800,-0.39%
8/1/2016,56.73,56.889999,55.779999,56.880001,47.123158,7323900,-0.02%
8/8/2016,56.860001,57.450001,56.830002,57.169998,47.363407,9151400,0.51%
8/15/2016,57.200001,57.279999,56.540001,56.779999,47.04031,6784400,-0.68%
8/22/2016,56.720001,57.73,56.52,57.290001,47.462826,12628300,0.90%
8/29/2016,57.48,59.099998,57.400002,58.77,48.688957,14046800,2.58%
9/5/2016,58.889999,58.889999,57.73,58.07,48.109032,7228600,-1.19%
9/12/2016,57.77,57.990002,56.93,57.18,47.371693,17138600,-1.53%
9/19/2016,57.380001,58.369999,57.060001,58.16,48.183594,8933700,1.71%
9/26/2016,57.950001,58.560001,57.560001,58.240002,48.249874,9627900,0.14%
10/3/2016,58.299999,58.59,57.849998,58.27,48.274723,11368700,0.05%
10/10/2016,58.279999,58.560001,57.419998,58.290001,48.750256,9002200,0.03%
10/17/2016,58.279999,60.23,58.209999,60,50.180401,10662100,2.93%
10/24/2016,60.25,60.990002,60.040001,60.52,50.615299,16558800,0.87%
10/31/2016,60.490002,61.029999,59.599998,59.709999,49.937866,11141500,-1.34%
11/7/2016,60.200001,62.099998,60.02,61.66,51.568718,13765900,3.27%
11/14/2016,61.950001,63.48,61.91,63.27,52.91523,15768800,2.61%
11/21/2016,63.509998,64.589996,63.259998,64.32,53.793396,9801600,1.66%
11/28/2016,64.269997,64.449997,62.630001,63.32,52.957054,17232600,-1.55%
12/5/2016,63.619999,65.870003,63.43,65.75,54.989361,14207000,3.84%
12/12/2016,65.75,66.959999,65.330002,66.440002,55.566441,41546400,1.05%
12/19/2016,66.580002,67.400002,66.440002,67.07,56.09333,10604000,0.95%
12/26/2016,67.349998,67.379997,66.169998,66.220001,55.382435,5604800,-1.27%
1/2/2017,66.629997,68.080002,66.599998,67.349998,56.327503,13495200,1.71%
1/9/2017,67.199997,67.660004,66.730003,67.099998,56.577312,12724900,-0.37%
1/16/2017,67.199997,67.5,66.080002,67.449997,56.872425,12135700,0.52%
1/23/2017,67.449997,68.599998,66.919998,68.160004,57.471088,10436400,1.05%
1/30/2017,68.139999,68.150002,66.940002,67.489998,56.906143,14345400,-0.98%
2/6/2017,67.480003,68.440002,67,68.269997,57.563835,12324200,1.16%
2/13/2017,68.550003,69.57,68.169998,69.440002,58.550354,13453200,1.71%
2/20/2017,69.540001,71.309998,69,69.260002,58.398582,16015200,-0.26%
2/27/2017,69.25,70.169998,68.379997,69.620003,58.702126,26267400,0.52%
3/6/2017,69.260002,70.669998,65.830002,66,55.649803,31315100,-5.20%
3/13/2017,66.25,67.459999,65.660004,66.050003,55.691971,39811400,0.08%
3/20/2017,66.059998,66.230003,64.220001,65.18,54.958408,18800100,-1.32%
3/27/2017,64.699997,66.940002,64.300003,66.610001,56.164146,21857100,2.19%
4/3/2017,67.010002,67.650002,66.029999,66.239998,55.852177,19154700,-0.56%
